Entidad_Federativa,Tipo,Año,Numero_embarcaciones
Aguascalientes,Embarcación Menor,2009,1
Aguascalientes,Embarcación Menor,2010,1
Aguascalientes,Embarcación Menor,2011,1
Aguascalientes,Embarcación Menor,2012,1
Aguascalientes,Embarcación Menor,2013,1
Baja California,Embarcación Menor,2009,2
Baja California,Embarcación Menor,2010,2
Baja California,Embarcación Menor,2011,3
Baja California,Embarcación Menor,2012,3
Baja California,Embarcación Menor,2013,3
Baja California sur,Embarcación Menor,2009,2
Baja California sur,Embarcación Menor,2010,2
Baja California sur,Embarcación Menor,2011,2
Baja California sur,Embarcación Menor,2012,2
Baja California sur,Embarcación Menor,2013,2
Campeche,Embarcación Menor,2009,3
Campeche,Embarcación Menor,2010,3
Campeche,Embarcación Menor,2011,4
Campeche,Embarcación Menor,2012,4
Campeche,Embarcación Menor,2013,4
Chiapas,Embarcación Menor,2009,2
Chiapas,Embarcación Menor,2010,2
Chiapas,Embarcación Menor,2011,2
Chiapas,Embarcación Menor,2012,2
Chiapas,Embarcación Menor,2013,2
Chihuahua,Embarcación Menor,2009,1
Chihuahua,Embarcación Menor,2010,1
Chihuahua,Embarcación Menor,2011,1
Chihuahua,Embarcación Menor,2012,1
Chihuahua,Embarcación Menor,2013,1
Coahuila,Embarcación Menor,2009,1
Coahuila,Embarcación Menor,2010,1
Coahuila,Embarcación Menor,2011,1
Coahuila,Embarcación Menor,2012,1
Coahuila,Embarcación Menor,2013,1
Colima,Embarcación Menor,2009,2
Colima,Embarcación Menor,2010,2
Colima,Embarcación Menor,2011,2
Colima,Embarcación Menor,2012,2
Colima,Embarcación Menor,2013,2
Estado de Mexico,Embarcación Menor,2009,1
Estado de Mexico,Embarcación Menor,2010,1
Estado de Mexico,Embarcación Menor,2011,1
Estado de Mexico,Embarcación Menor,2012,1
Estado de Mexico,Embarcación Menor,2013,1
Guanajuato,Embarcación Menor,2009,1
Guanajuato,Embarcación Menor,2010,1
Guanajuato,Embarcación Menor,2011,1
Guanajuato,Embarcación Menor,2012,1
Guanajuato,Embarcación Menor,2013,1
Guerrero,Embarcación Menor,2009,2
Guerrero,Embarcación Menor,2010,2
Guerrero,Embarcación Menor,2011,2
Guerrero,Embarcación Menor,2012,2
Guerrero,Embarcación Menor,2013,2
Hidalgo,Embarcación Menor,2009,1
Hidalgo,Embarcación Menor,2010,1
Hidalgo,Embarcación Menor,2011,1
Hidalgo,Embarcación Menor,2012,1
Hidalgo,Embarcación Menor,2013,1
Jalisco,Embarcación Menor,2009,1
Jalisco,Embarcación Menor,2010,1
Jalisco,Embarcación Menor,2011,1
Jalisco,Embarcación Menor,2012,1
Jalisco,Embarcación Menor,2013,1
Michoacan,Embarcación Menor,2009,2
Michoacan,Embarcación Menor,2010,2
Michoacan,Embarcación Menor,2011,2
Michoacan,Embarcación Menor,2012,2
Michoacan,Embarcación Menor,2013,2
Nayarit,Embarcación Menor,2009,4
Nayarit,Embarcación Menor,2010,4
Nayarit,Embarcación Menor,2011,5
Nayarit,Embarcación Menor,2012,6
Nayarit,Embarcación Menor,2013,6
Nuevo León,Embarcación Menor,2009,1
Nuevo León,Embarcación Menor,2010,1
Nuevo León,Embarcación Menor,2011,1
Nuevo León,Embarcación Menor,2012,1
Nuevo León,Embarcación Menor,2013,1
Oaxaca,Embarcación Menor,2009,2
Oaxaca,Embarcación Menor,2010,2
Oaxaca,Embarcación Menor,2011,1
Oaxaca,Embarcación Menor,2012,1
Oaxaca,Embarcación Menor,2013,1
Puebla,Embarcación Menor,2009,1
Puebla,Embarcación Menor,2010,1
Puebla,Embarcación Menor,2011,1
Puebla,Embarcación Menor,2012,1
Puebla,Embarcación Menor,2013,1
Queretaro,Embarcación Menor,2009,1
Queretaro,Embarcación Menor,2010,1
Queretaro,Embarcación Menor,2011,1
Queretaro,Embarcación Menor,2012,1
Queretaro,Embarcación Menor,2013,1
Quintana Roo,Embarcación Menor,2009,2
Quintana Roo,Embarcación Menor,2010,2
Quintana Roo,Embarcación Menor,2011,2
Quintana Roo,Embarcación Menor,2012,2
Quintana Roo,Embarcación Menor,2013,2
San Luis Potosi,Embarcación Menor,2009,1
San Luis Potosi,Embarcación Menor,2010,1
San Luis Potosi,Embarcación Menor,2011,1
San Luis Potosi,Embarcación Menor,2012,1
San Luis Potosi,Embarcación Menor,2013,1
Sinaloa,Embarcación Menor,2009,20
Sinaloa,Embarcación Menor,2010,20
Sinaloa,Embarcación Menor,2011,19
Sinaloa,Embarcación Menor,2012,18
Sinaloa,Embarcación Menor,2013,18
Sonora,Embarcación Menor,2009,5
Sonora,Embarcación Menor,2010,5
Sonora,Embarcación Menor,2011,7
Sonora,Embarcación Menor,2012,7
Sonora,Embarcación Menor,2013,7
Tabasco,Embarcación Menor,2009,2
Tabasco,Embarcación Menor,2010,2
Tabasco,Embarcación Menor,2011,1
Tabasco,Embarcación Menor,2012,1
Tabasco,Embarcación Menor,2013,1
Tamaulipas,Embarcación Menor,2009,4
Tamaulipas,Embarcación Menor,2010,4
Tamaulipas,Embarcación Menor,2011,2
Tamaulipas,Embarcación Menor,2012,2
Tamaulipas,Embarcación Menor,2013,2
Veracruz,Embarcación Menor,2009,3
Veracruz,Embarcación Menor,2010,3
Veracruz,Embarcación Menor,2011,3
Veracruz,Embarcación Menor,2012,3
Veracruz,Embarcación Menor,2013,3
Yucatan,Embarcación Menor,2009,2
Yucatan,Embarcación Menor,2010,2
Yucatan,Embarcación Menor,2011,2
Yucatan,Embarcación Menor,2012,2
Yucatan,Embarcación Menor,2013,2
Zacatecas,Embarcación Menor,2009,1
Zacatecas,Embarcación Menor,2010,1
Zacatecas,Embarcación Menor,2011,1
Zacatecas,Embarcación Menor,2012,1
Zacatecas,Embarcación Menor,2013,1
