Entidades_Federativas,Año,Actas_Verificaciones
Aguascalientes,2009,41
Aguascalientes,2010,41
Aguascalientes,2011,62
Aguascalientes,2012,125
Aguascalientes,2013,124
Baja California,2009,191
Baja California,2010,422
Baja California,2011,426
Baja California,2012,623
Baja California,2013,1169
Baja California Sur,2009,328
Baja California Sur,2010,229
Baja California Sur,2011,553
Baja California Sur,2012,175
Baja California Sur,2013,1933
Campeche,2009,548
Campeche,2010,620
Campeche,2011,519
Campeche,2012,553
Campeche,2013,652
Chiapas,2009,83
Chiapas,2010,79
Chiapas,2011,255
Chiapas,2012,542
Chiapas,2013,1412
Chihuahua,2009,52
Chihuahua,2010,66
Chihuahua,2011,153
Chihuahua,2012,179
Chihuahua,2013,234
Coahuila,2009,33
Coahuila,2010,38
Coahuila,2011,-0
Coahuila,2012,227
Coahuila,2013,126
Colima,2009,108
Colima,2010,99
Colima,2011,132
Colima,2012,122
Colima,2013,263
Distrito Federal,2009,230
Distrito Federal,2010,289
Distrito Federal,2011,301
Distrito Federal,2012,492
Distrito Federal,2013,385
Durango,2009,14
Durango,2010,57
Durango,2011,62
Durango,2012,193
Durango,2013,106
Estado de México,2009,179
Estado de México,2010,121
Estado de México,2011,141
Estado de México,2012,193
Estado de México,2013,281
Guanajuato,2009,51
Guanajuato,2010,94
Guanajuato,2011,74
Guanajuato,2012,177
Guanajuato,2013,285
Guerrero,2009,105
Guerrero,2010,135
Guerrero,2011,232
Guerrero,2012,263
Guerrero,2013,267
Hidalgo,2009,112
Hidalgo,2010,130
Hidalgo,2011,184
Hidalgo,2012,341
Hidalgo,2013,323
Jalisco,2009,420
Jalisco,2010,383
Jalisco,2011,627
Jalisco,2012,417
Jalisco,2013,1102
Michoacán,2009,141
Michoacán,2010,135
Michoacán,2011,356
Michoacán,2012,1701
Michoacán,2013,770
Morelos,2009,57
Morelos,2010,193
Morelos,2011,28
Morelos,2012,18
Morelos,2013,89
Nayarit,2009,289
Nayarit,2010,191
Nayarit,2011,358
Nayarit,2012,2088
Nayarit,2013,1857
Nuevo León,2009,19
Nuevo León,2010,40
Nuevo León,2011,45
Nuevo León,2012,53
Nuevo León,2013,72
Oaxaca,2009,126
Oaxaca,2010,566
Oaxaca,2011,455
Oaxaca,2012,696
Oaxaca,2013,556
Puebla,2009,40
Puebla,2010,60
Puebla,2011,87
Puebla,2012,97
Puebla,2013,152
Querétaro,2009,94
Querétaro,2010,61
Querétaro,2011,38
Querétaro,2012,23
Querétaro,2013,8
Quintana Roo,2009,165
Quintana Roo,2010,179
Quintana Roo,2011,163
Quintana Roo,2012,401
Quintana Roo,2013,563
San Luis Potosí,2009,58
San Luis Potosí,2010,46
San Luis Potosí,2011,53
San Luis Potosí,2012,72
San Luis Potosí,2013,29
Sinaloa,2009,359
Sinaloa,2010,631
Sinaloa,2011,1063
Sinaloa,2012,3313
Sinaloa,2013,2009
Sonora,2009,296
Sonora,2010,299
Sonora,2011,469
Sonora,2012,643
Sonora,2013,631
Tabasco,2009,196
Tabasco,2010,94
Tabasco,2011,150
Tabasco,2012,349
Tabasco,2013,439
Tamaulipas,2009,279
Tamaulipas,2010,84
Tamaulipas,2011,150
Tamaulipas,2012,654
Tamaulipas,2013,1089
Tlaxcala,2009,88
Tlaxcala,2010,150
Tlaxcala,2011,103
Tlaxcala,2012,72
Tlaxcala,2013,149
Veracruz,2009,739
Veracruz,2010,1032
Veracruz,2011,1360
Veracruz,2012,1427
Veracruz,2013,1558
Yucatán,2009,659
Yucatán,2010,230
Yucatán,2011,616
Yucatán,2012,616
Yucatán,2013,1138
Zacatecas,2009,26
Zacatecas,2010,31
Zacatecas,2011,28
Zacatecas,2012,147
Zacatecas,2013,136
