Entidad,Solicitudes 2009 Permisos ,Solicitudes 2009 Concesiones,Solicitudes 2012 ermisos,Solicitudes 2012Concesiones,Solicitudes 2015Permisos,Solicitudes 2015Concesiones
Baja California,162,0,206,4,379,1
Baja California Sur,10,0,5,0,100,0
Campeche,30,0,19,0,36,0
Chiapas,7,0,0,0,6,4
Colima,3,0,0,0,7,0
Guerrero,2,0,8,0,27,0
Hidalgo,0,0,0,0,1,0
Jalisco,1,0,0,0,11,0
Michoacan ,0,0,2,0,0,0
Morelos,0,0,0,0,2,0
Nayarit,0,0,0,0,56,0
Oaxaca,15,0,24,0,31,0
Puebla,0,0,0,0,2,0
Quintana Roo,1,0,2,0,5,2
Sinaloa,41,0,0,0,449,17
Sonora,116,0,33,0,374,0
Tabasco,4,0,1,0,6,0
Tamaulipas,44,0,60,0,58,0
Veracruz,14,0,0,0,33,1
Yucatan,6,0,0,0,5,0
